dominio;documento;nome;uf;cidade;cep;data_cadastro;ultima_atualizacao;ticket
cprm-sp.gov.br;000.091.652/0008-55;Companhia de Pesquisa de Recursos Minerais;SP;São Paulo;01304-010;04/05/1998 17:43;05/05/1998 12:00;95976
cprmpa.gov.br;000.091.652/0009-36;Companhia de Pesquisas de Recursos Minerais CPRM;RS;Porto Alegre;90840-030;18/07/1998 13:55;17/11/1999 18:49;104099
cprmbh.gov.br;000.091.652/0010-70;Companhia de Pesquisa de Recursos Minerais - CPRM;MG;Belo Horizonte;30140-002;17/11/2000 14:03;06/08/2003 21:07;460087
saofrancisco.gov.br;000.091.652/0010-70;Companhia de Pesquisa de Recursos Minerais - CPRM;MG;Belo Horizonte;30140-002;13/10/1999 16:52;13/04/2016 16:16;204971
reste.gov.br;000.091.652/0015-84;Companhia de Pesquisa de Recursos Minerais;PI;Teresina;64001-570;10/02/1998 12:07;10/02/1998 12:00;85216
crecidf.gov.br;000.105.650/0001-00;CONSELHO REGIONAL DE CORRETORES DE IMOVEIS CRECI;DF;Brasília;70391-900;12/01/2012 13:23;14/10/2015 17:07;9323584
cfmv.gov.br;000.119.784/0001-71;CONSELHO FEDERAL DE MEDICINA VETERINARIA;DF;Brasília;71205-060;29/12/2010 12:54;29/12/2010 12:54;7629594
eafrs.gov.br;000.147.606/0001-54;Escola Agrotécnica Federal de Rio do Sul;SC;Rio do Sul;89160-000;29/05/2002 12:29;13/10/2011 21:38;866902
inb.gov.br;000.322.818/0020-93;Industrias Nucleares do Brasil S/A;RJ;Resende;27555-000;17/03/1998 19:26;26/06/2015 18:59;89158
agritempo.gov.br;000.348.003/0001-10;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;SP;Campinas;13083-886;05/06/2003 18:42;29/07/2015 18:33;1236028
agrolivre.gov.br;000.348.003/0001-10;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;SP;Campinas;13083-886;03/02/2004 18:31;29/07/2015 18:33;1480690
pimentalonga.gov.br;000.348.003/0068-28;Embrapa - Acre;AC;Rio Branco;69900-056;25/10/2000 12:50;27/11/2000 14:39;449661
embrapa.gov.br;000.348.003/0101-83;Empresa Brasileira de Pesquisa Agropecuaria;RR;Boa Vista;69301-970;09/06/2000 20:26;22/08/2003 10:38;357901
aeroportodebrasilia.gov.br;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;DF;Brasília;70300-500;12/11/2002 10:56;09/01/2013 11:34;1008124
aeroportodesalvador.gov.br;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;DF;Brasília;70300-500;12/11/2002 10:56;09/01/2013 11:34;1012775
aeroportoindustria.gov.br;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;DF;Brasília;70300-500;29/01/2002 18:45;09/01/2013 11:34;719691
aeroportoindustrial.gov.br;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;DF;Brasília;70300-500;29/01/2002 18:45;09/01/2013 11:34;719697
aeroshopping.gov.br;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;DF;Brasília;70300-500;29/01/2002 18:45;09/01/2013 11:34;719666
infraero.gov.br;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;DF;Brasília;70300-500;05/11/1996 11:00;20/01/2015 18:05;21425
sivnet.gov.br;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;DF;Brasília;70300-500;29/01/2002 18:45;09/01/2013 11:34;719669
tecanet.gov.br;000.352.294/0001-10;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;DF;Brasília;70300-500;29/01/2002 18:45;09/01/2013 11:34;719687
novoaeroportorecife.gov.br;000.352.294/0014-35;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;PE;Recife;51210-001;10/07/2001 11:41;15/02/2013 12:12;596093
amazonasenergia.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;28/09/2001 20:14;16/10/2015 20:59;639230
belomonte.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;08/05/2002 14:33;08/05/2008 13:59;810126
boavistaenergia.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;12/09/2000 12:00;15/06/2016 01:15;414884
bvenergia.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;12/09/2000 12:00;09/01/2010 16:52;414885
cbee.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;24/01/2002 14:02;22/02/2006 13:46;714185
coegv.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;12/11/1998 19:22;08/05/2008 14:13;122146
eletronorte.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;09/08/2000 22:35;02/01/2013 16:51;396358
eln.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;30/05/1995 12:00;02/01/2013 16:53;0
energiaboavista.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;12/09/2000 12:00;10/12/2008 12:11;414887
energiabv.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;12/09/2000 12:00;10/12/2008 12:11;414889
redefloresta.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;05/03/2004 12:48;12/05/2010 11:22;1546935
topawa-kaa.gov.br;000.357.038/0001-16;Centrais Eletricas do Norte do Brasil;DF;Brasilia;70718-900;05/03/2004 12:48;12/05/2010 11:22;1546938
cadastrominhacasaminhavida.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;25/03/2016 20:12;29/03/2016 19:56;15397059
caixa.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;20/08/1997 12:00;17/01/2016 04:49;53140
caixacultural.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;17/05/2005 11:42;16/07/2015 18:55;2119071
caixaeconomica.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;20/08/1997 12:00;16/07/2015 19:03;53141
caixaeconomicafederal.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;20/10/1998 13:51;16/07/2015 19:08;120970
caixamaisqueumbanco.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;12/09/2011 18:52;16/07/2015 19:35;8785977
caixamasterpass.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;27/10/2015 19:33;27/10/2015 19:33;14823420
caixaoperadoradeseguros.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;16/07/2015 17:39;16/07/2015 19:38;14436705
caixapostal.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;23/11/1999 16:04;16/07/2015 19:40;223289
caixaseguridade.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;16/07/2015 17:39;16/07/2015 19:42;14436714
cef.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;01/01/1996 12:00;16/07/2015 20:39;0
creditoruralcaixa.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;17/09/2014 15:09;16/07/2015 20:48;13323025
fgts.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;29/04/2009 16:21;16/07/2015 21:00;5512241
postal.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;23/11/1999 16:04;16/07/2015 21:27;223294
seliganacaixa.gov.br;000.360.305/0001-04;CAIXA ECONOMICA FEDERAL;DF;Brasília;70070-140;17/09/2014 15:09;16/07/2015 21:34;13323021
investidoresinstitucionais.gov.br;000.360.305/0262-51;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;13/12/2001 13:28;16/07/2015 21:17;689142
caminhaodasorte.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 19:43;323560
caminhaofederal.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 19:44;323559
cartelafederal.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 19:54;323555
loteriaesportiva.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:20;323558
loteriafederal.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:20;323556
quina.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:30;323557
sena.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:35;323554
supercaminhaodasorte.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:35;323561
trevodaloteria.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:39;323553
trincadasorte.gov.br;000.360.305/0643-40;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:41;323562
bolsadacaixa.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 18:31;399411
caixaqui.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 19:41;399412
caixavirtual.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 19:43;399413
esportiva.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 20:56;399414
federal.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 20:56;399415
govbankingcaixa.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 21:02;399416
instantanea.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 21:07;399419
mega-sena.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 21:23;399420
megasena.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;22/09/2003 12:32;16/07/2015 21:23;1337598
rapidinha.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:18;16/07/2015 21:31;399421
supersenaduplachance.gov.br;000.360.305/0655-83;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:18;16/07/2015 21:36;399422
apostasurpresa.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 20:46;16/07/2015 18:28;399383
caixaresolve.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 20:46;16/07/2015 19:41;399386
chequeazul.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 20:46;16/07/2015 20:40;399389
construcard.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 20:46;16/07/2015 20:44;399390
federalcap.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 20:56;399404
federalcard.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 20:57;399405
guiafacilgps.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 21:06;399406
loterias.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 21:21;399407
officebankingsocial.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 21:26;399409
teimozinha.gov.br;000.360.305/0674-46;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:18;16/07/2015 21:36;399410
bolaofederal.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 18:31;323563
lojacaixa.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;19/10/2004 18:53;16/07/2015 21:19;1850408
loteca.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:19;323569
loto-tauloteriadacopa.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:22;323575
raspadinhadacaixa.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:32;323570
raspadinhafederal.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:32;323571
shoppingcaixa.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;19/10/2004 18:53;16/07/2015 21:35;1850414
supertrinca.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:36;323567
trevodasorte.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:39;323577
trevofederal.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:40;323580
trinca.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:40;323568
trinka.gov.br;000.360.305/0688-41;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;02/05/2000 13:26;16/07/2015 21:41;323565
caixadasorte.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 18:56;399423
caixadotesouro.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 18:59;399424
caixaforte.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 19:31;399425
carrocampeao.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 19:44;399426
dinheiroaqui.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 20:49;399427
dinheiroemcaixa.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 20:49;399428
dinheiroinstantaneo.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 20:49;399429
dinheirovivo.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 20:50;399431
duplasena.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;30/09/2003 19:48;16/07/2015 20:50;1342309
loteriascaixa.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 21:21;399432
lotofacil.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;04/08/2000 21:17;16/07/2015 21:22;399433
lotomania.gov.br;000.360.305/2399-13;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;30/09/2003 19:48;16/07/2015 21:23;1342303
caixaaqui.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;05/09/2001 20:08;16/07/2015 18:51;628476
caixainvest.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;25/10/2001 19:55;16/07/2015 19:34;650493
caixainveste.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;25/10/2001 19:55;16/07/2015 19:34;650495
e-conta.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;05/09/2001 20:08;18/12/2002 15:53;628473
e-contacaixa.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;17/12/2001 19:18;18/12/2002 15:53;685789
e-pagamentos.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;17/12/2001 19:18;18/12/2002 15:53;685791
e-pagamentoscaixa.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;17/12/2001 19:18;18/12/2002 15:54;685790
ecobrancacaixa.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;01/04/2002 18:33;18/12/2002 15:54;768337
investcaixa.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;25/10/2001 19:55;18/12/2002 15:55;650496
investecaixa.gov.br;000.360.305/2714-85;CAIXA ECONOMICA FEDERAL;DF;Brasília;70750-544;25/10/2001 19:55;18/12/2002 15:55;650497
geipot.gov.br;000.366.914/0001-70;EMPRESA BRASILEIRA DE PLANEJAMENTO DE;DF;Brasília;70044-902;31/10/1996 11:00;30/07/2014 18:42;20961
dpu.gov.br;000.375.114/0001-16;Defensoria Pública-Geral da União;DF;Brasília;70070-110;05/10/2007 17:05;02/08/2012 16:23;3957938
incra.gov.br;000.375.972/0002-41;INCRA/INSTITUTO NACIONAL DE COLON E REF. AGRARIA;DF;Brasilia;70040-903;12/07/1996 12:00;21/09/2004 18:21;11611
nead.gov.br;000.375.972/0002-41;INCRA/INSTITUTO NACIONAL DE COLON E REF. AGRARIA;DF;Brasilia;70040-903;07/04/1999 11:58;03/08/2011 15:57;146549
incra-pe.gov.br;000.375.972/0005-94;Superint. Estadual de Pernambuco - Incra;PE;Recife;52050-220;25/11/1998 14:12;18/08/2000 20:33;123516
incrarn.gov.br;000.375.972/0018-09;Instituto Nacional de Colonizacao e Ref. Agraria;RN;Natal;59020-030;17/06/1998 12:30;04/09/2003 12:27;99023
fnde.gov.br;000.378.257/0001-81;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;DF;Brasília;70070-120;17/11/1998 15:57;24/02/2016 12:06;124561
dnpm.gov.br;000.381.056/0001-33;Departamento Nacional de Producao Mineral;DF;Brasília;70040-200;02/04/1997 12:00;04/02/2015 17:05;35177
pormin.gov.br;000.381.056/0001-33;Departamento Nacional de Producao Mineral;DF;Brasília;70040-200;11/01/2008 19:24;04/02/2015 17:05;4136215
dnpm-pe.gov.br;000.381.056/0005-67;4 Distrito DNPM - PE;PE;Recife;52070-000;01/10/2002 12:12;16/08/2013 12:43;957607
dnpmsc.gov.br;000.381.056/0012-96;DNPM - 11º Distrito;SC;Florianópolis;88020-180;07/05/2002 19:05;07/05/2007 21:38;825078
dnpmma.gov.br;000.381.056/0023-49;DNPM - Depart. Nacional de Produção Mineral;MA;sao luis;65025-240;04/09/2002 17:28;04/09/2002 14:28;944603
bndespar.gov.br;000.383.281/0001-09;BNDES Participações S/A;RJ;Rio de Janeiro;20031-917;17/05/2006 17:29;11/11/2014 20:48;2800307
aerofacil.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;23/12/2013 18:07;15/01/2014 20:30;12368464
aplicativos.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;26/08/2013 12:54;26/08/2013 12:54;11895940
brasil.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;06/12/1996 11:00;28/03/2010 17:35;24188
brazil.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;06/12/1996 11:00;28/03/2010 17:35;24189
casacivil.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;08/08/2009 18:51;28/04/2016 12:43;5829920
cdes.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;12/02/2003 14:00;12/02/2003 12:00;1105216
cnv.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;24/07/2012 10:50;15/01/2016 14:16;10171985
confiancabrasil.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;26/12/2008 12:22;26/12/2008 12:22;5135023
confiancanobrasil.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;26/12/2008 12:22;26/12/2008 12:22;5148848
ctir.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;17/12/2004 17:03;22/02/2013 18:56;1940214
dialoga.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;14/04/2015 17:49;14/04/2015 17:49;14062641
emdefesadademocracia.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;12/04/2016 15:25;12/04/2016 15:25;15430403
fomezero.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;22/01/2003 18:05;23/10/2013 20:18;1073518
govbrasil.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;26/08/2013 12:54;26/08/2013 12:54;11895959
juventude.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;17/10/2007 19:13;03/10/2011 20:09;3962921
maisbrasil.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;11/10/2007 19:08;22/09/2014 17:06;3955204
minhacasaminhavida.gov.br;000.394.411/0001-09;PRESIDENCIA DA REPUBLICA;DF;Brasília;70150-900;08/04/2009 00:23;08/04/2009 00:23;5419701
